Season Number,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of sharks in deal
2,16,Pitchers Ki Taiyyari,199,Solinas,Services,"Products organise the management of pipelines,manholes and septic tanks",Middle,Chennai,Tamil Nadu,120,,,90,2,4500,1,1,90,3,3000,2
2,17,Innovation Hardwork And Diligence,200,AvimeeHerbal,Beauty/Fashion,Ayurveda hair skin products,Middle,Surat,Gujarat,,165,69,280,0.5,56000,1,0,,,,
2,17,Innovation Hardwork And Diligence,201,eyenic,Beauty/Fashion,Eyewear,Middle,Delhi,Delhi,,15,45,75,6,1250,0,,,,,
2,17,Innovation Hardwork And Diligence,202,ekatra,Furnishing/Household,Handmade paper goods,Middle,Kota,Rajasthan,,5,80,40,10,400,1,1,20,20,100,2
2,18,Business Ideas With Potential,203,Raasa,Food,Food karts,Middle,Delhi,Delhi,,,,50,5,1000,1,1,50,25,200,1
2,18,Business Ideas With Potential,204,NeoMotion,Manufacturing,Wheelchairs,Middle,Chennai,Tamil Nadu,470,,,100,1,10000,1,1,100,1,10000,1
2,18,Business Ideas With Potential,205,licksters,Food,Icecreams ice-pops,Middle,Nagpur,Maharashtra,86,14,,50,5,1000,1,1,25,5,500,1
2,18,Business Ideas With Potential,206,Sayonara,Beauty/Fashion,Petticoat,Middle,Kolkata,West Bengal,0,,,100,1,10000,0,,,,,
2,19,Building Brands For India,207,PMV,Vehicles/Electrical Vehicles,Personal Mobility Vehicle,Middle,Mumbai,Maharashtra,0,,,100,1,10000,1,0,,,,
2,19,Building Brands For India,208,SpiceStory,Food,Indian Sauces Chutneys,Middle,Mumbai,Maharashtra,410,57,,70,2,3500,1,1,70,5,1400,1
2,19,Building Brands For India,209,Bullspree,Technology/Software,App to learn stock market basics,Middle,Ahmedabad,Gujarat,-1,,,75,1.5,5000,1,1,75,2.86,2622.377622,2
2,20,Nurturing Indian Entrepreneurs,210,Snitch,Beauty/Fashion,Menswear,Middle,Bangalore,Karnataka,,,,150,0.5,30000,1,1,150,1.5,10000,5
2,20,Nurturing Indian Entrepreneurs,211,Portl,Services,Portl studio gym,Middle,Hyderabad,Telangana,,,45,150,1,15000,1,1,150,2.5,6000,3
2,20,Nurturing Indian Entrepreneurs,212,FatToSlim,Beauty/Fashion,Diet Plan Weight Loss,Middle,Bangalore,Karnataka,,14,,20,1,2000,0,,,,,
2,21,Adhbhut Aur Anokhe Entrepreneurs,213,CheeseCake&Co.,Food,Cakes Slices,Middle,Delhi,Delhi,,194,,100,2,5000,1,0,,,,
2,21,Adhbhut Aur Anokhe Entrepreneurs,214,Dabble,Manufacturing,Paints Crayons Brushes,Middle,Bangalore,Karnataka,33,8.7,75,50,10,500,1,1,15,10,150,1
2,21,Adhbhut Aur Anokhe Entrepreneurs,215,CloudTailor,Services,Custom tailor online,Middle,"Bangalore,Hyderabad","Karnataka,Telangana",-1,34,,100,1.4,7142.857143,0,,,,,
2,21,Adhbhut Aur Anokhe Entrepreneurs,216,BeUnic,Services,Platform for LGBTQ+ creators and entrepreneurs,Middle,Noida,Uttar Pradesh,50,6,,100,10,1000,1,0,,,,
2,22,Making Big Businesses,217,Broomees,Services,Helpers homemakers for your home,Middle,Delhi,Delhi,,,,80,2,4000,1,1,100,3,3333.333333,3
2,22,Making Big Businesses,218,Ravel,Beauty/Fashion,Custom Hair Products,Middle,Amaravati,Maharashtra,,40,,75,2.5,3000,1,1,75,10,750,1
2,22,Making Big Businesses,219,HoneyVeda,Food,Honey in natural nutritious form,Middle,Ahmedabad,Gujarat,53,,20,75,7.5,1000,1,1,50,20,250,2
2,23,Changing The World,220,PadCare,Manufacturing,Menstrual hygiene disposal solution,Young,Pune,Maharashtra,-1,14,,50,2,2500,1,1,100,4,2500,4
2,23,Changing The World,221,SwadeshiBlessings,Furnishing/Household,Clay utensils and cookwares,Middle,Udaipur,Rajasthan,120,28,60,50,5,1000,1,1,25,5,500,2
2,23,Changing The World,222,OLL,Technology/Software,Online Live Learning Skill development classes,Young,Mumbai,Maharashtra,,,,30,2,1500,1,1,30,5,600,2
2,23,Changing The World,223,Febris,Medical/Health,"Scrubs, Lab Coats & Medical Apparel",Middle,Ferozepur,Punjab,110,12,,100,2.5,4000,0,,,,,
2,24,India Ke Incredible Entrepreneurs,224,Geeani,Vehicles/Electrical Vehicles,Smallest EV tractor,Middle,Ahmedabad,Gujarat,,,,75,7.5,1000,1,1,100,10,1000,3
2,24,India Ke Incredible Entrepreneurs,225,Amore,Food,Gelato Ice Cream Online,Middle,"Hyderabad,Mumbai","Telangana,Maharashtra",,,,75,4,1875,1,1,75,7.5,1000,1
2,24,India Ke Incredible Entrepreneurs,226,LeafyAffair,Beauty/Fashion,Botanical Jewellery,Middle,Bangalore,Karnataka,110,21,80,50,2.5,2000,0,,,,,
2,25,Badhta India,227,ScrapUncle,Services,Sell scrap recyclables online,Young,Delhi,Delhi,600,,25,60,3,2000,1,1,60,5,1200,1
2,25,Badhta India,228,SharmaJiKiAata,Food,Freshly milled atta,Middle,Pune,Maharashtra,,,63,40,10,400,1,1,40,20,200,1
2,25,Badhta India,229,Manetain,Beauty/Fashion,Curly Hair Care Products,Young,"Cochin,Mumbai","Kerala,Maharashtra",100,12,60,75,2.5,3000,1,1,75,10,750,1
2,26,Bharat Badal Raha Hai,230,GavinParis,Beauty/Fashion,Gender-Neutral Fashion,Young,Kolkata,West Bengal,114,,60,50,5,1000,1,0,,,,
2,26,Bharat Badal Raha Hai,231,UnStop,Technology/Software,Connecting talent colleges recruiters,Middle,Delhi,Delhi,1600,,90,100,1,10000,1,1,200,4,5000,4
2,26,Bharat Badal Raha Hai,232,BlueTea,Food,Ayurvedic Herbal Tea,Middle,"Faridabad,Kolkata","Haryana,West Bengal",1000,,,75,1,7500,1,1,50,3,1666.666667,1
2,27,Nayi Soch Naye Vichaar,233,TheGreenSnack,Food,Healthy Snacks Online,Middle,Mumbai,Maharashtra,-1,25,,100,2,5000,1,1,100,8,1250,1
2,27,Nayi Soch Naye Vichaar,234,HobbyIndia,Furnishing/Household,Online Art & Craft Store,Young,Surat,Gujarat,117,,,50,3,1666.666667,1,0,,,,
2,27,Nayi Soch Naye Vichaar,235,Flhexible,Furnishing/Household,Composite paper honeycomb panels,Middle,Jaipur,Rajasthan,16,3.5,40,50,7.5,666.6666667,0,,,,,
2,27,Nayi Soch Naye Vichaar,236,UpThrust,Sports,ESPORTS AND GAMING ORGANISATION,Young,Mumbai,Maharashtra,300,33,,75,3,2500,0,,,,,
2,28,Game Changers,237,Zoff,Food,Cool Grind Technology Indian Spices,Middle,Raipur,Chhattisgarh,,700,,100,0.5,20000,1,1,100,1.25,8000,1
2,28,Game Changers,238,DesiToys,Manufacturing,Indian Traditional Toys and Indoor Games,Middle,Mumbai,Maharashtra,115,20,50,50,3,1666.666667,1,0,,,,
2,28,Game Changers,239,CloudWorx,Technology/Software,NoCode Enterprise Metaverse App Builder,Middle,Bangalore,Karnataka,,14,,40,2,2000,1,1,40,3.2,1250,2
2,29,Pulse Of The Country,240,Mahantam,Manufacturing,Tea Glass Washing Machine,Young,Banaskantha,Gujarat,,,,30,10,300,1,1,30,20,150,5
2,29,Pulse Of The Country,241,MindPeers,Medical/Health,For Mental Strength,Middle,Delhi,Delhi,,,,53,1,5300,1,1,106,2,5300,4
2,29,Pulse Of The Country,242,Barosi,Food,Fresh & pure milk products,Middle,Pataudi,Haryana,-1,42,40,50,2,2500,0,,,,,
2,30,Changing India,243,Daryaganj,Food,North Indian Cuisine restaurant,Middle,Delhi,Delhi,,300,,90,0.5,18000,1,1,90,1,9000,1
2,30,Changing India,244,DhruvVidyut,Vehicles/Electrical Vehicles,Invention converts cycle into an electric cycle,Middle,Delhi,Delhi,,,,0,0.5,0,1,1,0,0.5,0,3
2,30,Changing India,245,CELLBELL,Furnishing/Household,Gaming Office Chairs,Middle,Ulhasnagar,Maharashtra,,400,52,90,1.5,6000,0,,,,,
2,31,Innovations And Investments,246,Tipayi,Manufacturing,Balance Bike for Kids,Young,Pune,Maharashtra,21,0.5,35,50,10,500,1,0,,,,
2,31,Innovations And Investments,247,DigiQure,Medical/Health,Book Doctors Appointments Video Consultation,Middle,Bhopal,Madhya Pradesh,,,,40,4,1000,1,1,40,10,400,1
2,31,Innovations And Investments,248,Nirmalaya,Manufacturing,Incense products made from temple flowers,Middle,Delhi,Delhi,-1,80,,60,1.5,4000,0,,,,,
2,32,Pitch Perfect,249,Pabiben,Beauty/Fashion,Handcrafted products sold directly by artisans,Middle,Ahmedabad,Gujarat,,,50,50,5,1000,1,1,10,5,200,1
2,32,Pitch Perfect,250,Homestrap,Furnishing/Household,Collection of organizer for home and travelling,Middle,Indore,Madhya Pradesh,,,55,70,1,7000,1,1,50,7,714.2857143,1
2,32,Pitch Perfect,251,uBreathe,Manufacturing,Smart Natural Air Purifier,Middle,Gurgaon,Haryana,,,,150,7.5,2000,1,1,50,5,1000,1
2,32,Pitch Perfect,252,Deyor,Technology/Software,Chatbot integrated experiential travel website,Middle,Gurgaon,Haryana,,,25,100,1,10000,0,,,,,
2,33,Growing With India,253,iMumz,Medical/Health,Transforming pregnancy and parenting with app,Middle,Bangalore,Karnataka,,,,70,1,7000,1,1,10,1,1000,1
2,33,Growing With India,254,TheHealthyBinge,Food,Assorted Pack Baked Chips,Middle,Pune,Maharashtra,-1,11,,50,5,1000,1,1,50,5,1000,2
2,33,Growing With India,255,Freakins,Beauty/Fashion,Fashionable Denim Apparel,Middle,Mumbai,Maharashtra,-1,,63,70,1,7000,1,1,50,2.5,2000,1
2,34,Growing Ideas Into Successful Businesses,256,Perfora,Furnishing/Household,Toothpaste Electric Toothbrush,Young,"Ballarpur,Karnal","Haryana,Maharashtra",-1,,57,80,1,8000,1,1,80,2.5,3200,3
2,34,Growing Ideas Into Successful Businesses,257,MidNightAngelsByPC,Beauty/Fashion,Lounge & Travel wear,Middle,Gurgaon,Haryana,180,,83,75,6,1250,1,0,,,,
2,34,Growing Ideas Into Successful Businesses,258,CureSee,Medical/Health,Artificial Intelligence (AI) based vision therapy,Middle,Gurgaon,Haryana,0,264,,40,5,800,1,1,50,10,500,1
2,35,Business Ideas Ka Pitara,259,MeduLance,Medical/Health,One-stop solution for all healthcare needs,Middle,Delhi,Delhi,240,,,200,1,20000,1,1,200,2,10000,3
2,35,Business Ideas Ka Pitara,260,Cakelicious,Food,Cakes Online,Middle,Kolkata,West Bengal,,3,60,25,5,500,1,1,25,20,125,1
